lat,lon,flood_heig,elevation,precipitat,elevation_bin,precip_bin,flood_risk_index
14.622268,121.026466,0,27.1499156952,8.0,Moderate,Low,1.0853104486072722
14.622911,121.02906,0,29.5121612549,8.0,Moderate,Low,1.0595873911295346
14.623846,121.033134,0,30.462228775,8.0,High,Low,1.0492418784342465
14.630303,121.025757,0,28.5100765228,8.0,Moderate,Low,1.070499331700457
14.673847,121.058876,0,52.8063011169,11.0,Very High,Moderate,0.9487890678543665
14.673867,121.058884,0,52.8063011169,11.0,Very High,Moderate,0.9487890678543665
14.496457,121.007439,0,9.46848678589,6.0,Low,Low,1.1826096661202166
14.43601,120.987564,0,22.6609630585,7.0,Moderate,Low,1.0865726810120255
14.658797,121.068962,0,71.5064544678,11.0,Very High,Moderate,0.745158620751823
14.616882,121.064957,0,51.6550140381,9.0,Very High,Low,0.8660876132630251
14.658864,121.068886,0,71.5064544678,11.0,Very High,Moderate,0.745158620751823
14.608107,121.026985,0,14.7621536255,8.0,Low,Low,1.2202037557111702
14.432397,121.021523,0,36.5415840149,8.0,High,Low,0.9830423236837265
14.657551,121.06768,0,69.7145233154,11.0,Very High,Moderate,0.7646713881015424
14.668626,121.076752,0,75.0572967529,13.0,Very High,Moderate,0.8017307441907763
14.626,121.026611,0,28.1248760223,8.0,Moderate,Low,1.074693872176627
14.62723,121.026688,0,28.2777023315,8.0,Moderate,Low,1.0730297099054695
14.63078,121.034523,0,32.8475952148,8.0,High,Low,1.0232670521574077
14.625938,121.030197,0,30.6413536072,8.0,High,Low,1.0472913452496457
14.679472,121.079971,0,79.2669143677,13.0,Very High,Moderate,0.755891210099939
14.65753596,121.0651474,0,66.5628967285,10.0,Very High,Low,0.7513711569621374
14.65752039,121.0660701,0,67.5904312134,10.0,Very High,Low,0.7401820879396955
14.65749963,121.0678082,0,69.7145233154,11.0,Very High,Moderate,0.7646713881015424
14.59546344,121.0790808,0,17.8703479767,10.0,Moderate,Low,1.2815959784828777
14.64241836,121.1211071,0,25.0083503723,15.0,Moderate,Moderate,1.4419637994836938
14.57361676,121.0765127,0,5.74423837662,10.0,Low,Low,1.4136400891992151
14.57920661,121.0483482,0,36.2512741089,8.0,High,Low,0.986203577757305
14.6368596,121.050455,0,51.4034194946,9.0,Very High,Low,0.8688272864849562
14.64677938,121.0622514,0,62.3565101624,10.0,Very High,Low,0.7971755073900899
14.68882935,120.9720728,0,13.4195594788,9.0,Low,Low,1.2824426324428289
14.65221112,121.0709571,0,71.932800293,11.0,Very High,Moderate,0.7405160389838185
14.65182706,121.0703723,0,71.932800293,11.0,Very High,Moderate,0.7405160389838185
14.59085422,121.1421812,0,54.4768562317,0.0,Very High,Very Low,0.40678846942888003
14.59112417,121.1424602,0,0.0,0.0,Very Low,Very Low,1.0
14.59102034,121.1422322,0,54.4768562317,0.0,Very High,Very Low,0.40678846942888003
14.69006176,120.9719119,0,12.7455749512,9.0,Low,Low,1.2897818113319035
14.65172067,121.0742776,0,71.9953613281,11.0,Very High,Moderate,0.7398347968940043
14.65243688,121.0742776,0,71.9953613281,11.0,Very High,Moderate,0.7398347968940043
14.64861704,121.0689883,0,65.6942062378,11.0,Very High,Moderate,0.8084495833197265
14.64383485,121.0572306,0,57.9075469971,9.0,Very High,Low,0.7980022848663313
14.64819146,121.0694979,0,65.7300643921,11.0,Very High,Moderate,0.8080591152922528
14.74571089,121.0361448,0,64.9433135986,14.0,Very High,Moderate,0.9594833759068003
14.67026839,121.0794165,0,76.9619750977,13.0,Very High,Moderate,0.780990245668635
14.65344373,121.0667594,0,67.6498794556,11.0,Very High,Moderate,0.7871537894160943
14.64871528,121.0827891,0,37.3246040344,11.0,High,Moderate,1.1173729740747875
14.65628471,121.0289969,0,35.693271637,9.0,High,Low,1.0398988478920281
14.68501919,121.0799736,0,77.5776596069,13.0,Very High,Moderate,0.7742859096383387
14.64230158,121.0603604,0,58.0288887024,10.0,Very High,Low,0.8443000136042568
14.53969079,121.0592298,0,8.31950473785,9.0,Low,Low,1.3379783495922881
14.74686165,121.0436985,0,65.2277526855,14.0,Very High,Moderate,0.9563860505880164
14.5812486,121.0636381,0,62.3125190735,9.0,Very High,Low,0.7500354892705947
14.63934712,121.1254948,0,30.371257782,16.0,High,High,1.431184864310039
14.6537707,121.0667862,0,67.6498794556,11.0,Very High,Moderate,0.7871537894160943
14.44360194,121.0365555,0,32.4965934753,9.0,High,Low,1.0747082417560938
14.65810257,121.0702444,0,72.9205703735,11.0,Very High,Moderate,0.7297599740814389
14.55738134,121.0905943,0,5.98287820816,11.0,Low,Moderate,1.4586605305565326
14.65765405,121.0107609,0,19.3463172913,9.0,Moderate,Low,1.2179047476147462
14.64043127,121.0648772,0,55.1138572693,10.0,Very High,Low,0.8760424888076248
14.64035082,121.0650221,0,55.1138572693,10.0,Very High,Low,0.8760424888076248
14.65754095,121.0682856,0,70.8740692139,11.0,Very High,Moderate,0.752044815189716
14.5685391,121.0597301,0,33.3664093018,9.0,High,Low,1.065236608966594
14.48652373,121.0214357,0,19.6389961243,7.0,Moderate,Low,1.1194796024897915
14.77274289,121.0552408,0,68.3417205811,16.0,Very High,High,1.0177154038524272
