lat,lon,flood_heig,elevation,precipitat,elevation_bin,precip_bin,flood_risk_index,flood_risk_index_scaled,cluster_id,cluster_mean_elev,cluster_mean_precip,cluster_mean_flood,elev_precip_interaction,low_elev_high_rain,very_low_elev,very_high_rain
14.64039374,121.0557085,0,54.5532951355,9.0,Very High,Low,0.834527536475526,0.08732852187549668,17,52.86835118816443,10.234309623430962,2.0376569037656904,0.16467442590033438,0,0,0
14.69829935,121.0021322,0,21.8562717438,10.0,Moderate,Low,1.2381923002573103,0.12956972496768315,14,12.199576505475353,9.056338028169014,1.9154929577464788,0.45545073028273997,0,0,0
14.69885841,121.1002614,0,69.322807312,16.0,Very High,High,1.0070321155439963,0.10538013700904483,10,31.323989455230926,15.278350515463918,2.948453608247423,0.23047180918646518,0,0,0
14.57131006,120.9833345,0,10.9872407913,8.0,Low,Low,1.2613096853673182,0.1319888267744488,19,9.217746485162037,7.972222222222222,2.384259259259259,0.7215501269060095,0,0,0
14.7622323,121.0757349,0,87.8898468018,18.0,Very High,High,0.9000892723837124,0.09418918163590892,4,54.22197818755952,13.095238095238095,2.4404761904761907,0.20456905716116983,0,0,0
14.6011784,121.0885987,0,14.4637336731,11.0,Low,Moderate,1.3663104648788806,0.14297655632169134,18,7.96141869734253,11.101167315175097,1.6770428015564203,0.7553008209919131,0,0,0
14.70803089,121.052674,0,45.0005531311,12.0,High,Moderate,1.0814067741738107,0.11316301860282292,4,54.22197818755952,13.095238095238095,2.4404761904761907,0.2660721247723491,0,0,0
14.70920612,121.0502922,0,43.226852417,13.0,High,Moderate,1.1483400735351257,0.12016720461465882,4,54.22197818755952,13.095238095238095,2.4404761904761907,0.3000448745937343,0,0,0
14.70962531,121.0470059,0,43.1831130981,12.0,High,Moderate,1.1011973138318205,0.11523398510771676,4,54.22197818755952,13.095238095238095,2.4404761904761907,0.2772443833418896,0,0,0
14.66933825,121.1328981,0,48.2762107849,17.0,High,High,1.2838325918059241,0.13434571979673343,10,31.323989455230926,15.278350515463918,2.948453608247423,0.3514123930786726,0,0,0
14.72701256,121.0465953,0,53.3076515198,13.0,Very High,Moderate,1.0385678385199895,0.10868016960641064,4,54.22197818755952,13.095238095238095,2.4404761904761907,0.24341081530575195,0,0,0
14.6467477,121.0628002,0,62.1015319824,10.0,Very High,Low,0.7999520258399931,0.08371039292837577,17,52.86835118816443,10.234309623430962,2.0376569037656904,0.16076774447982267,0,0,0
14.685377,121.097061,0,82.2314758301,15.0,Very High,Moderate,0.8188474857869433,0.08568769447350365,10,31.323989455230926,15.278350515463918,2.948453608247423,0.182190345171926,0,0,0
14.39827,121.027496,0,37.0790176392,10.0,High,Low,1.0724281755123375,0.11222345973226579,11,16.691807371780666,9.706666666666667,1.8133333333333332,0.26896891405372736,0,0,0
14.630796,121.072151,0,52.1958312988,10.0,Very High,Low,0.9078175722457053,0.09499790390576805,17,52.86835118816443,10.234309623430962,2.0376569037656904,0.19121983056093925,0,0,0
14.630796,121.072144,0,52.1958312988,10.0,Very High,Low,0.9078175722457053,0.09499790390576805,17,52.86835118816443,10.234309623430962,2.0376569037656904,0.19121983056093925,0,0,0
14.630767,121.072205,0,52.1958312988,10.0,Very High,Low,0.9078175722457053,0.09499790390576805,17,52.86835118816443,10.234309623430962,2.0376569037656904,0.19121983056093925,0,0,0
14.732137,121.05455,0,69.5092391968,14.0,Very High,Moderate,0.9097639188760553,0.09520157792113208,4,54.22197818755952,13.095238095238095,2.4404761904761907,0.20112272683255522,0,0,0
14.61853,121.058342,0,51.159576416,9.0,Very High,Low,0.8714825521497047,0.09119565238186851,17,52.86835118816443,10.234309623430962,2.0376569037656904,0.1755769483337121,0,0,0
14.636256,121.082314,0,36.8361244202,11.0,High,Moderate,1.1226921455475303,0.11748329600478209,17,52.86835118816443,10.234309623430962,2.0376569037656904,0.2978114291272045,0,0,0
14.636267,121.082298,0,36.8361244202,11.0,High,Moderate,1.1226921455475303,0.11748329600478209,17,52.86835118816443,10.234309623430962,2.0376569037656904,0.2978114291272045,0,0,0
14.655506,121.086761,0,38.0961227417,12.0,High,Moderate,1.1565907697699882,0.12103059266974597,17,52.86835118816443,10.234309623430962,2.0376569037656904,0.3141680133648537,0,0,0
14.620814,121.04863,0,41.8438415527,9.0,High,Low,0.9729238194862229,0.10181089938868197,17,52.86835118816443,10.234309623430962,2.0376569037656904,0.21457262060014276,0,0,0
14.625777,121.010796,0,14.0821800232,8.0,Low,Low,1.227608151068581,0.12846215443997466,13,19.42967117749313,8.115384615384615,3.9065934065934065,0.5640881716994958,0,0,0
14.627915,121.013458,0,17.3416099548,8.0,Moderate,Low,1.1921154381577974,0.1247480455335863,13,19.42967117749313,8.115384615384615,3.9065934065934065,0.4586732544032363,0,0,0
14.630739,121.01638,0,15.0720682144,8.0,Moderate,Low,1.2168290215516628,0.12733418033885333,13,19.42967117749313,8.115384615384615,3.9065934065934065,0.5272847371202234,0,0,0
14.632337,121.01889,0,18.1897277832,8.0,Moderate,Low,1.1828800800646289,0.12378161826064878,13,19.42967117749313,8.115384615384615,3.9065934065934065,0.4374039950090666,0,0,0
14.633064,121.020218,0,20.2778568268,8.0,Moderate,Low,1.1601419429607631,0.1214022025832834,13,19.42967117749313,8.115384615384615,3.9065934065934065,0.39258299182271095,0,0,0
14.632171,121.020737,0,21.9754295349,8.0,Moderate,Low,1.141656667302698,0.11946782447216965,13,19.42967117749313,8.115384615384615,3.9065934065934065,0.36239385455003054,0,0,0
